
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.17
   Hydrogen atoms are excluded

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0375_0001.xyz      1   3.50     389.31      32.97       0.00
     mol_0377_0001.xyz      1   3.50     392.18      48.70       0.00
     mol_0378_0001.xyz      1   3.50     293.09      49.79       0.00
     mol_0379_0001.xyz      1   3.50     290.82      49.52       0.00
     mol_0380_0001.xyz      1   3.50     293.47      37.22       0.00
     mol_0381_0001.xyz      1   3.50     365.12      37.53       0.00
     mol_0382_0001.xyz      1   3.50     363.23      40.85       0.00
     mol_0383_0001.xyz      1   3.50     264.25      33.35       0.00
     mol_0384_0001.xyz      1   3.50     349.74      41.71       0.00
     mol_0385_0001.xyz      1   3.50     327.34      42.80       0.00
     mol_0386_0001.xyz      1   3.50     194.70      36.25       0.00
     mol_0387_0001.xyz      1   3.50     365.07      37.57       0.00
     mol_0388_0001.xyz      1   3.50     372.03      35.71       0.00
     mol_0389_0001.xyz      1   3.50     347.97      39.00       0.00
     mol_0390_0001.xyz      1   3.50     371.14      42.67       0.00
     mol_0391_0001.xyz      1   3.50     318.27      47.08       0.00
     mol_0392_0001.xyz      1   3.50     405.26      36.89       0.00
     mol_0393_0001.xyz      1   3.50     328.03      42.65       0.00
     mol_0394_0001.xyz      1   3.50     407.20      42.28       0.00
     mol_0395_0001.xyz      1   3.50     416.37      42.42       0.00
     mol_0396_0001.xyz      1   3.50     359.57      44.74       0.00
     mol_0397_0001.xyz      1   3.50     384.16      35.78       0.00
     mol_0398_0001.xyz      1   3.50     313.13      46.76       0.00
     mol_0399_0001.xyz      1   3.50     359.00      35.30       0.00
     mol_0400_0001.xyz      1   3.50     383.54      43.60       0.00
     mol_0401_0001.xyz      1   3.50     330.38      35.40       0.00
     mol_0402_0001.xyz      1   3.50     471.99      49.49       0.00
     mol_0403_0001.xyz      1   3.50     378.17      35.00       0.00
     mol_0404_0001.xyz      1   3.50     311.93      47.57       0.00
     mol_0405_0001.xyz      1   3.50     296.13      41.31       0.00
     mol_0406_0001.xyz      1   3.50     279.81      42.39       0.00
     mol_0407_0001.xyz      1   3.50     323.55      40.26       0.00
     mol_0408_0001.xyz      1   3.50     320.46      44.22       0.00
     mol_0409_0001.xyz      1   3.50     305.03      37.60       0.00
     mol_0410_0001.xyz      1   3.50     268.59      33.70       0.00
     mol_0411_0001.xyz      1   3.50     370.49      36.91       0.00
     mol_0412_0001.xyz      1   3.50     377.59      44.78       0.00
     mol_0413_0001.xyz      1   3.50     364.29      36.04       0.00
