
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0183_0001.xyz      1   3.50     218.74      35.77       0.00
     mol_0184_0001.xyz      1   3.50     286.25      43.44       0.00
     mol_0185_0001.xyz      1   3.50     232.80      29.12       0.00
     mol_0186_0001.xyz      1   3.50     353.19      31.04       0.00
     mol_0187_0001.xyz      1   3.50     356.44      28.61       0.00
     mol_0188_0001.xyz      1   3.50     263.53      29.57       0.00
     mol_0189_0001.xyz      1   3.50     300.94      24.80       0.00
     mol_0190_0001.xyz      1   3.50     284.98      26.53       0.00
     mol_0191_0001.xyz      1   3.50     329.92      35.15       0.00
     mol_0192_0001.xyz      1   3.50     230.80      34.65       0.00
     mol_0193_0001.xyz      1   3.50     309.78      32.61       0.00
     mol_0195_0001.xyz      1   3.50     342.28      40.02       0.00
     mol_0196_0001.xyz      1   3.50     263.08      36.14       0.00
     mol_0197_0001.xyz      1   3.50     300.03      32.97       0.00
     mol_0198_0001.xyz      1   3.50     207.72      37.88       0.00
     mol_0199_0001.xyz      1   3.50     295.76      29.44       0.00
     mol_0200_0001.xyz      1   3.50     238.75      25.01       0.00
     mol_0201_0001.xyz      1   3.50     250.09      39.70       0.00
     mol_0202_0001.xyz      1   3.50     287.98      43.14       0.00
     mol_0203_0001.xyz      1   3.50     308.98      43.08       0.00
     mol_0204_0001.xyz      1   3.50     296.33      38.22       0.00
     mol_0205_0001.xyz      1   3.50     335.27      32.17       0.00
     mol_0206_0001.xyz      1   3.50     360.03      46.64       0.00
     mol_0207_0001.xyz      1   3.50     219.50      27.76       0.00
     mol_0208_0001.xyz      1   3.50     253.29      31.45       0.00
     mol_0209_0001.xyz      1   3.50     307.69      39.91       0.00
     mol_0210_0001.xyz      1   3.50     298.09      28.33       0.00
     mol_0211_0001.xyz      1   3.50     251.83      37.52       0.00
     mol_0212_0001.xyz      1   3.50     262.82      30.58       0.00
     mol_0213_0001.xyz      1   3.50     309.13      39.87       0.00
     mol_0214_0001.xyz      1   3.50     299.24      29.40       0.00
     mol_0215_0001.xyz      1   3.50     209.93      28.98       0.00
     mol_0216_0001.xyz      1   3.50     306.62      36.66       0.00
     mol_0217_0001.xyz      1   3.50     208.84      34.00       0.00
     mol_0218_0001.xyz      1   3.50     297.69      31.42       0.00
     mol_0219_0001.xyz      1   3.50     308.35      28.76       0.00
     mol_0220_0001.xyz      1   3.50     263.25      44.36       0.00
     mol_0221_0001.xyz      1   3.50     232.76      28.62       0.00
     mol_0222_0001.xyz      1   3.50     342.55      33.76       0.00
     mol_0223_0001.xyz      1   3.50     318.31      34.63       0.00
     mol_0224_0001.xyz      1   3.50     283.15      34.09       0.00
     mol_0225_0001.xyz      1   3.50     369.76      29.10       0.00
     mol_0226_0001.xyz      1   3.50     316.12      37.99       0.00
     mol_0227_0001.xyz      1   3.50     287.78      31.00       0.00
     mol_0228_0001.xyz      1   3.50     302.04      33.07       0.00
     mol_0229_0001.xyz      1   3.50     251.83      31.55       0.00
     mol_0230_0001.xyz      1   3.50     235.65      32.35       0.00
     mol_0231_0001.xyz      1   3.50     337.37      35.41       0.00
     mol_0232_0001.xyz      1   3.50     355.48      22.25       0.00
     mol_0233_0001.xyz      1   3.50     355.01      32.60       0.00
     mol_0234_0001.xyz      1   3.50     216.44      27.53       0.00
     mol_0235_0001.xyz      1   3.50     270.51      49.60       0.00
     mol_0236_0001.xyz      1   3.50     294.42      39.73       0.00
     mol_0237_0001.xyz      1   3.50     354.40      31.27       0.00
     mol_0238_0001.xyz      1   3.50     265.22      30.19       0.00
     mol_0239_0001.xyz      1   3.50     329.36      32.25       0.00
     mol_0240_0001.xyz      1   3.50     237.43      31.91       0.00
     mol_0241_0001.xyz      1   3.50     344.17      40.99       0.00
     mol_0242_0001.xyz      1   3.50     285.29      34.83       0.00
     mol_0243_0001.xyz      1   3.50     228.43      29.73       0.00
     mol_0244_0001.xyz      1   3.50     299.57      28.65       0.00
     mol_0245_0001.xyz      1   3.50     331.97      33.37       0.00
     mol_0246_0001.xyz      1   3.50     272.68      36.41       0.00
     mol_0247_0001.xyz      1   3.50     359.67      31.00       0.00
     mol_0248_0001.xyz      1   3.50     189.30      34.63       0.00
     mol_0249_0001.xyz      1   3.50     165.42      32.18       0.00
     mol_0250_0001.xyz      1   3.50     293.07      35.00       0.00
     mol_0251_0001.xyz      1   3.50     328.53      45.55       0.00
     mol_0252_0001.xyz      1   3.50     275.59      34.55       0.00
     mol_0253_0001.xyz      1   3.50     229.80      35.45       0.00
     mol_0254_0001.xyz      1   3.50     389.19      28.62       0.00
     mol_0255_0001.xyz      1   3.50     323.33      47.24       0.00
     mol_0256_0001.xyz      1   3.50     264.97      29.13       0.00
     mol_0257_0001.xyz      1   3.50     259.55      29.66       0.00
     mol_0258_0001.xyz      1   3.50     313.18      44.61       0.00
     mol_0259_0001.xyz      1   3.50     301.07      39.79       0.00
