
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Bondi atomic radii will be scaled by 1.07
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0167_0001.xyz      1   3.50     269.07      40.49       0.00
     mol_0168_0001.xyz      1   3.50     300.43      45.06       0.00
     mol_0169_0001.xyz      1   3.50     374.18      33.58       0.00
     mol_0170_0001.xyz      1   3.50     316.19      43.43       0.00
     mol_0171_0001.xyz      1   3.50     336.92      30.47       0.00
     mol_0172_0001.xyz      1   3.50     277.49      31.74       0.00
     mol_0173_0001.xyz      1   3.50     253.87      41.14       0.00
     mol_0175_0001.xyz      1   3.50     318.82      38.91       0.00
     mol_0176_0001.xyz      1   3.50     358.40      33.16       0.00
     mol_0177_0001.xyz      1   3.50     288.18      38.30       0.00
     mol_0178_0001.xyz      1   3.50     260.70      51.35       0.00
     mol_0179_0001.xyz      1   3.50     239.40      43.09       0.00
     mol_0180_0001.xyz      1   3.50     384.01      32.27       0.00
     mol_0181_0001.xyz      1   3.50     340.23      31.77       0.00
     mol_0182_0001.xyz      1   3.50     267.93      34.74       0.00
     mol_0183_0001.xyz      1   3.50     247.07      39.53       0.00
     mol_0184_0001.xyz      1   3.50     322.05      47.38       0.00
     mol_0185_0001.xyz      1   3.50     262.37      32.85       0.00
     mol_0186_0001.xyz      1   3.50     398.57      34.69       0.00
     mol_0187_0001.xyz      1   3.50     402.42      32.21       0.00
     mol_0188_0001.xyz      1   3.50     297.38      33.17       0.00
     mol_0189_0001.xyz      1   3.50     339.14      28.32       0.00
     mol_0190_0001.xyz      1   3.50     321.59      30.14       0.00
     mol_0191_0001.xyz      1   3.50     372.06      39.20       0.00
     mol_0192_0001.xyz      1   3.50     260.39      38.46       0.00
     mol_0193_0001.xyz      1   3.50     348.03      36.41       0.00
     mol_0195_0001.xyz      1   3.50     385.63      44.26       0.00
     mol_0196_0001.xyz      1   3.50     297.79      40.00       0.00
     mol_0197_0001.xyz      1   3.50     337.81      36.83       0.00
     mol_0198_0001.xyz      1   3.50     234.62      42.03       0.00
     mol_0199_0001.xyz      1   3.50     333.38      33.23       0.00
     mol_0200_0001.xyz      1   3.50     271.23      28.41       0.00
     mol_0201_0001.xyz      1   3.50     282.98      43.68       0.00
     mol_0202_0001.xyz      1   3.50     325.71      47.56       0.00
     mol_0203_0001.xyz      1   3.50     347.74      47.42       0.00
     mol_0204_0001.xyz      1   3.50     333.39      42.18       0.00
     mol_0205_0001.xyz      1   3.50     378.64      35.71       0.00
     mol_0206_0001.xyz      1   3.50     404.11      51.62       0.00
     mol_0207_0001.xyz      1   3.50     248.36      31.36       0.00
     mol_0208_0001.xyz      1   3.50     284.60      35.14       0.00
     mol_0209_0001.xyz      1   3.50     346.18      45.22       0.00
     mol_0210_0001.xyz      1   3.50     335.98      31.95       0.00
     mol_0211_0001.xyz      1   3.50     286.52      41.46       0.00
     mol_0212_0001.xyz      1   3.50     297.75      34.28       0.00
     mol_0213_0001.xyz      1   3.50     346.09      43.64       0.00
     mol_0214_0001.xyz      1   3.50     336.89      32.84       0.00
     mol_0215_0001.xyz      1   3.50     237.27      32.66       0.00
     mol_0216_0001.xyz      1   3.50     343.22      40.57       0.00
     mol_0217_0001.xyz      1   3.50     233.94      37.60       0.00
     mol_0218_0001.xyz      1   3.50     336.15      35.27       0.00
     mol_0219_0001.xyz      1   3.50     347.70      32.49       0.00
     mol_0220_0001.xyz      1   3.50     297.01      49.79       0.00
     mol_0221_0001.xyz      1   3.50     261.97      32.37       0.00
     mol_0222_0001.xyz      1   3.50     385.48      37.60       0.00
     mol_0223_0001.xyz      1   3.50     359.25      38.75       0.00
     mol_0224_0001.xyz      1   3.50     319.95      37.86       0.00
     mol_0225_0001.xyz      1   3.50     416.32      32.71       0.00
     mol_0226_0001.xyz      1   3.50     356.66      42.01       0.00
     mol_0227_0001.xyz      1   3.50     325.86      34.82       0.00
     mol_0228_0001.xyz      1   3.50     339.84      36.67       0.00
     mol_0229_0001.xyz      1   3.50     283.08      35.25       0.00
