mol_file,atom1_idx,element
mol_0399_0001.xyz,23,Cl
mol_0401_0001.xyz,16,Cl
mol_0421_0001.xyz,10,Cl
mol_0423_0001.xyz,21,Cl
mol_0435_0001.xyz,18,Cl
mol_0448_0001.xyz,20,Cl
mol_0450_0001.xyz,18,Cl
mol_0455_0001.xyz,14,Cl
mol_0470_0001.xyz,15,Cl
mol_0486_0001.xyz,16,Cl
mol_0499_0001.xyz,16,Cl
mol_0010_0001.xyz,21,F
mol_0020_0001.xyz,24,F
mol_0027_0001.xyz,7,F
mol_0029_0001.xyz,23,F
mol_0031_0001.xyz,11,F
mol_0032_0001.xyz,22,F
mol_0037_0001.xyz,27,F
mol_0042_0001.xyz,8,F
mol_0057_0001.xyz,13,F
mol_0058_0001.xyz,23,F
mol_0067_0001.xyz,9,F
mol_0072_0001.xyz,27,F
mol_0086_0001.xyz,18,F
mol_0091_0001.xyz,21,F
mol_0094_0001.xyz,18,F
mol_0098_0001.xyz,1,F
mol_0119_0001.xyz,19,F
mol_0128_0001.xyz,19,F
mol_0129_0001.xyz,21,F
mol_0130_0001.xyz,28,F
mol_0142_0001.xyz,23,F
mol_0150_0001.xyz,24,F
mol_0151_0001.xyz,18,F
mol_0156_0001.xyz,3,F
mol_0157_0001.xyz,19,F
mol_0159_0001.xyz,23,F
mol_0165_0001.xyz,12,F
mol_0167_0001.xyz,10,F
mol_0177_0001.xyz,19,F
mol_0179_0001.xyz,12,F
mol_0183_0001.xyz,18,F
mol_0184_0001.xyz,21,F
mol_0189_0001.xyz,24,F
mol_0192_0001.xyz,17,F
mol_0195_0001.xyz,16,F
mol_0215_0001.xyz,16,F
mol_0218_0001.xyz,23,F
mol_0221_0001.xyz,17,F
mol_0226_0001.xyz,23,F
mol_0227_0001.xyz,16,F
mol_0229_0001.xyz,12,F
mol_0246_0001.xyz,23,F
mol_0259_0001.xyz,25,F
mol_0260_0001.xyz,17,F
mol_0265_0001.xyz,10,F
mol_0269_0001.xyz,14,F
mol_0279_0001.xyz,12,F
mol_0282_0001.xyz,22,F
mol_0283_0001.xyz,25,F
mol_0286_0001.xyz,11,F
mol_0293_0001.xyz,15,F
mol_0294_0001.xyz,12,F
mol_0300_0001.xyz,15,F
mol_0305_0001.xyz,17,F
mol_0306_0001.xyz,23,F
mol_0314_0001.xyz,21,F
mol_0315_0001.xyz,16,F
mol_0321_0001.xyz,23,F
mol_0322_0001.xyz,17,F
mol_0324_0001.xyz,22,F
mol_0327_0001.xyz,20,F
mol_0335_0001.xyz,22,F
mol_0337_0001.xyz,15,F
mol_0338_0001.xyz,17,F
mol_0339_0001.xyz,19,F
mol_0353_0001.xyz,22,F
mol_0357_0001.xyz,22,F
mol_0375_0001.xyz,22,F
mol_0377_0001.xyz,28,F
mol_0381_0001.xyz,19,F
mol_0382_0001.xyz,24,F
mol_0383_0001.xyz,3,F
mol_0387_0001.xyz,6,F
mol_0391_0001.xyz,19,F
mol_0392_0001.xyz,24,F
mol_0396_0001.xyz,21,F
mol_0402_0001.xyz,21,F
mol_0404_0001.xyz,19,F
mol_0412_0001.xyz,21,F
mol_0417_0001.xyz,18,F
mol_0419_0001.xyz,19,F
mol_0422_0001.xyz,13,F
mol_0423_0001.xyz,23,F
mol_0443_0001.xyz,12,F
mol_0445_0001.xyz,20,F
mol_0446_0001.xyz,20,F
mol_0457_0001.xyz,24,F
mol_0460_0001.xyz,17,F
mol_0470_0001.xyz,21,F
mol_0476_0001.xyz,22,F
mol_0477_0001.xyz,14,F
mol_0478_0001.xyz,24,F
mol_0494_0001.xyz,22,F
mol_0497_0001.xyz,19,F
mol_0002_0001.xyz,28,H
mol_0004_0001.xyz,31,H
mol_0005_0001.xyz,36,H
mol_0006_0001.xyz,33,H
mol_0007_0001.xyz,29,H
mol_0008_0001.xyz,19,H
mol_0011_0001.xyz,39,H
mol_0012_0001.xyz,34,H
mol_0014_0001.xyz,43,H
mol_0015_0001.xyz,40,H
mol_0016_0001.xyz,34,H
mol_0017_0001.xyz,35,H
mol_0020_0001.xyz,38,H
mol_0023_0001.xyz,39,H
mol_0027_0001.xyz,34,H
mol_0029_0001.xyz,44,H
mol_0034_0001.xyz,38,H
mol_0035_0001.xyz,41,H
mol_0038_0001.xyz,40,H
mol_0040_0001.xyz,15,H
mol_0041_0001.xyz,34,H
mol_0044_0001.xyz,36,H
mol_0045_0001.xyz,26,H
mol_0046_0001.xyz,38,H
mol_0047_0001.xyz,33,H
mol_0048_0001.xyz,41,H
mol_0050_0001.xyz,42,H
mol_0051_0001.xyz,38,H
mol_0055_0001.xyz,40,H
mol_0056_0001.xyz,33,H
mol_0057_0001.xyz,23,H
mol_0058_0001.xyz,34,H
mol_0059_0001.xyz,34,H
mol_0061_0001.xyz,20,H
mol_0062_0001.xyz,32,H
mol_0064_0001.xyz,34,H
mol_0065_0001.xyz,38,H
mol_0066_0001.xyz,35,H
mol_0067_0001.xyz,38,H
mol_0069_0001.xyz,44,H
mol_0070_0001.xyz,45,H
mol_0073_0001.xyz,42,H
mol_0075_0001.xyz,22,H
mol_0078_0001.xyz,46,H
mol_0080_0001.xyz,30,H
mol_0083_0001.xyz,34,H
mol_0084_0001.xyz,28,H
mol_0085_0001.xyz,39,H
mol_0086_0001.xyz,30,H
mol_0088_0001.xyz,26,H
mol_0089_0001.xyz,35,H
mol_0091_0001.xyz,42,H
mol_0092_0001.xyz,39,H
mol_0094_0001.xyz,44,H
