
   ·▄▄▄▄  ▄▄▄▄· .▄▄ ·▄▄▄▄▄▄▄▄ . ▄▄▄·
   ██▊ ██ ▐█ ▀█▊▐█ ▀.•██  ▀▄.▀·▐█ ▄█
   ▐█· ▐█▌▐█▀▀█▄▄▀▀▀█▄▐█.▊▐▀▀▊▄ ██▀·
   ██. ██ ██▄▊▐█▐█▄▊▐█▐█▌·▐█▄▄▌▐█▊·•
   ▀▀▀▀▀• ·▀▀▀▀  ▀▀▀▀ ▀▀▀  ▀▀▀ .▀   

   Buried volume (Vbur) will be computed
   Using a Cartesian grid-spacing of 0.0500 Angstrom
   Charry-Tkatchenko atomic radii will be scaled by 1.0
   Hydrogen atoms are included

                  File   Atom    R/Å    Mol_Vol     %V_Bur     %S_Bur
     mol_0157_0001.xyz      1   3.50     378.70      46.70       0.00
     mol_0158_0001.xyz      1   3.50     454.77      48.59       0.00
     mol_0159_0001.xyz      1   3.50     459.07      57.74       0.00
     mol_0160_0001.xyz      1   3.50     314.96      50.85       0.00
     mol_0161_0001.xyz      1   3.50     479.50      45.09       0.00
     mol_0162_0001.xyz      1   3.50     555.71      49.89       0.00
     mol_0163_0001.xyz      1   3.50     520.83      47.69       0.00
     mol_0164_0001.xyz      1   3.50     481.91      60.41       0.00
     mol_0165_0001.xyz      1   3.50     513.87      60.12       0.00
     mol_0166_0001.xyz      1   3.50     406.72      44.65       0.00
     mol_0167_0001.xyz      1   3.50     350.19      53.15       0.00
     mol_0168_0001.xyz      1   3.50     405.97      60.35       0.00
     mol_0169_0001.xyz      1   3.50     531.15      47.03       0.00
     mol_0170_0001.xyz      1   3.50     443.19      59.16       0.00
     mol_0171_0001.xyz      1   3.50     455.86      47.16       0.00
     mol_0172_0001.xyz      1   3.50     427.19      49.28       0.00
     mol_0173_0001.xyz      1   3.50     335.65      52.25       0.00
     mol_0175_0001.xyz      1   3.50     466.21      54.87       0.00
     mol_0176_0001.xyz      1   3.50     496.73      46.49       0.00
     mol_0177_0001.xyz      1   3.50     387.37      51.02       0.00
     mol_0178_0001.xyz      1   3.50     386.38      67.60       0.00
     mol_0179_0001.xyz      1   3.50     336.15      56.57       0.00
     mol_0180_0001.xyz      1   3.50     552.42      50.92       0.00
     mol_0181_0001.xyz      1   3.50     493.29      47.26       0.00
     mol_0182_0001.xyz      1   3.50     341.69      47.03       0.00
     mol_0183_0001.xyz      1   3.50     339.80      55.42       0.00
     mol_0184_0001.xyz      1   3.50     434.51      61.26       0.00
     mol_0185_0001.xyz      1   3.50     373.92      46.01       0.00
     mol_0186_0001.xyz      1   3.50     543.30      48.69       0.00
     mol_0187_0001.xyz      1   3.50     534.27      45.07       0.00
     mol_0188_0001.xyz      1   3.50     404.78      47.19       0.00
     mol_0189_0001.xyz      1   3.50     467.44      35.73       0.00
     mol_0190_0001.xyz      1   3.50     422.90      46.10       0.00
     mol_0191_0001.xyz      1   3.50     498.40      54.19       0.00
     mol_0192_0001.xyz      1   3.50     355.54      50.97       0.00
     mol_0193_0001.xyz      1   3.50     493.95      49.96       0.00
     mol_0195_0001.xyz      1   3.50     518.21      58.39       0.00
     mol_0196_0001.xyz      1   3.50     403.20      55.70       0.00
     mol_0197_0001.xyz      1   3.50     479.02      54.33       0.00
     mol_0198_0001.xyz      1   3.50     350.74      55.03       0.00
     mol_0199_0001.xyz      1   3.50     475.31      49.58       0.00
     mol_0200_0001.xyz      1   3.50     338.38      34.22       0.00
