name,E_rel(kcal/mol),E_tot,pct_V_bur_r2.5,pct_V_bur_r3.5,pct_V_bur_r4.5,pct_V_bur_r5.5,pct_V_bur_r6.5,pct_V_bur_r7.5,pct_V_bur_r8.5
fragment_00042,0.0,-710.542997922861,28.163867505523143,21.107022375095305,14.619178218580576,9.890312730787327,6.105140063762417,3.9735821210980014,2.7298437517919374
fragment_00042,0.8942014738444857,-710.5415729221068,28.08605874348271,21.056519695730127,14.601165027684637,9.883819069372215,6.102466541576258,3.9718420365383804,2.7286483168373032
fragment_00043,0.0,-535.1623309039659,28.67776902907203,20.957112369838356,13.912205352856063,8.011043529595579,4.85351869753824,3.1589537536453354,2.170195532338848
fragment_00043,3.876081595107163e-05,-535.1623308421966,28.674631098743795,20.9582760361364,13.91253711536106,8.011491986875628,4.853790396947402,3.1591305915070853,2.170317019630986
fragment_00044,0.0,-726.6028666424857,27.902670037897682,20.276424858741326,14.334242289863028,9.36925918624377,5.771525793240009,3.756446447412239,2.5806719355219316
fragment_00044,0.00018327117319114316,-726.6028663504245,27.894292255768704,20.267025020975563,14.33329250343397,9.368685160925308,5.771623605027308,3.7565101090424693,2.5807156709471015
fragment_00045,0.0,-312.49941838351606,27.673467983741045,18.59141690369344,11.376931536602829,6.832300476423077,4.139373102519251,2.694146044306797,1.8508734741925035
fragment_00045,0.33586890340114933,-312.49888314234875,27.995482195377853,19.754356037528936,12.355214884266887,6.8383815571405435,4.1430573465074945,2.696543965712129,1.8525208418738903
fragment_00045,0.3398222881687443,-312.4988768422291,27.991636756988164,19.739038103361242,12.352529281260583,6.839529607777468,4.1437528969949495,2.696996670638209,1.8528318493417624
fragment_00046,0.0,-588.3699741286846,29.745406869293824,23.206389104543604,16.436213032169405,11.372966313503568,7.517672688068973,5.003514121988698,3.4374051791684868
fragment_00047,0.0,-253.28364401756178,27.092244124133767,17.668074321383934,9.120831829504821,4.995598840253597,3.02660100235346,1.9698888977229223,1.3533101205134501
fragment_00048,0.0,-386.6048762535129,28.388393898043358,19.493046006022734,12.319843527598502,7.372063658690285,4.467694668551173,2.9078369164456666,1.997678718011667
fragment_00048,0.3507013903617852,-386.604317375273,27.922189606934822,19.76312408830277,12.841014267102215,7.3717407694486505,4.4661948878125965,2.9068607714488057,1.9970081081590672
